T,,5,6,L4,1,1,1,3,1,L4,6,6.,7,6,5,3,L4,5,5,6,1.,2,L4,3,2,1,3,2,R
T,,MBDN,MBDN,X,,,,MBN,MBN,X,MDN,MBDN,MBBDN,MBDN,MBDN,MDN,X,MDN,MDN,MDN,MBN,MBBN,X,MBN,MBN,MBN,MBN,,R
T,,3,,X,3,3,5,5,,X,4,4,,3,,3,X,3,5,4,5,,X,5,,5,,5,R
T,,MDN,,X,MDN,MDN,MDN,MDN,,X,MDN,MDN,,MDN,,MDN,X,MDN,MDN,MDN,MDN,,X,MDN,,MDN,,MDN,R
T,(1),耶,,,穌,尊,名,入,,,我,耳,,中,，,好,,像,和,諧,美,,,妙,,樂,,聲；,R
T,(2),耶,,,穌,尊,名,至,,,高、,至,,榮,，,超,,乎,世,間,古,,,今,,萬,,名；,R
T,(3),耶,,,穌,尊,名,至,,,寶、,至,,美,，,世,,間,珠,寶,黃,,,金,,難,,比；,R
T,(4),耶,,,穌,尊,名,至,,,善、,至,,聖,，,好,,比,園,中,蘭,,,桂,,清,,香；,R
T,,1,,L4,1,1,1,1,,L4,1,1,,1,,1,L4,1,1,1,1,,L4,1,,1,,7,R
T,,,,X,,,,,,X,,,,,,,X,,,,,,X,,,,,MDN,R
T,,1,,X,1,5,3,1,3,X,4,6,,1,,1,X,1,3,4,3,2,X,1,,3,,5,R
T,,,,X,,MDN,MDN,MBDN,MBDN,X,MDN,MDN,,,,,X,MDN,MDN,MDN,MBDN,MBBDN,X,MDN,,MDN,,MDN,RK
T,,1,3,L4,5,5,5,6,5,L4,3,3,2,1,L4,6,1,5,6,7,L4,1,-,-,,,,,R
T,,MBN,MBN,X,,,,MBN,MBN,X,,,,,X,MDN,,MDN,MBDN,MBDN,X,,,,,,,,R
T,,5,1,X,1,1,1,1,,X,1,1,7,6,X,6,6,4,4,,X,3,-,-,,,,,R
T,,MBDN,MBN,X,,,,,,X,,,MDN,MDN,X,MDN,MDN,MDN,MDN,,X,MDN,,,,,,,R
T,,願,,,傳,此,名，,音,,,大,聲,洪，,天,,上、,地,下,都,,,聽,。,,,,,,R
T,,醫,,,我,疾,病，,使,,,我,得,福，,權,,能,永,遠,常,,,新,。,,,,,,R
T,,赦,,,我,罪,愆，,使,,,我,得,生，,萬,,民,所,望、,所,,,倚,。,,,,,,R
T,,能,,,解,世,間,苦,,,楚、,愁,悶，,使,,我,免,去,心,,,傷,。,,,,,,R
T,,3,5,L4,3,3,3,4,3,L4,5,5,4,3,L4,4,1,7,1,2,L4,1,-,-,,,,,R
T,,MBN,MBN,X,,,,MBN,MBN,X,,,,,X,,,MDN,MBN,MBN,X,,,,,,,,R
T,,1,,X,1,1,1,1,,X,1,1,5,6,X,4,4,5,5,,X,1,-,-,,,,,R
T,,,,X,,,,,,X,,,MDN,MDN,X,MDN,MDN,MDN,MDN,,X,MDN,,,,,,,RK
T,,5,6,L4,1,1,1,3,1,L4,6,6.,7,6,5,3,L4,5,5,6,1.,2,L4,3,2,1,3,2,R
T,,MBDN,MBDN,X,,,,MBN,MBN,X,MDN,MBDN,MBBDN,MBDN,MBDN,MDN,X,MDN,MDN,MDN,MBN,MBBN,X,MBN,MBN,MBN,MBN,,R
T,,3,,X,3,3,5,5,,X,4,4,,3,,3,X,3,5,4,5,,X,5,,5,,5,R
T,,MDN,,X,MDN,MDN,MDN,MDN,,X,MDN,MDN,,MDN,,MDN,X,MDN,MDN,MDN,MDN,,X,MDN,,MDN,,MDN,R
T,,美,,,哉，,大,哉，,耶,,,穌,我,,主,！,創,,造、,救,贖，,權,,,能,,無,,比；,R
T,,1,,L4,1,1,1,1,,L4,1,1,,1,,1,L4,1,1,1,1,,L4,1,,1,,7,R
T,,,,X,,,,,,X,,,,,,,X,,,,,,X,,,,,MDN,R
T,,1,,X,1,5,3,1,3,X,4,6,,1,,1,X,1,3,4,3,2,X,1,,3,,5,R
T,,,,X,,MDN,MDN,MBDN,MBDN,X,MDN,MDN,,,,,X,MDN,MDN,MDN,MBDN,MBBDN,X,MDN,,MDN,,MDN,RK
T,,1,3,L4,5,5,5,6,5,L4,3,3,2,1,L4,6,1,5,6,7,L4,1,-,-,,,,,R
T,,MBN,MBN,X,,,,MBN,MBN,X,,,,,X,MDN,,MDN,MBDN,MBDN,X,,,,,,,,R
T,,5,1,X,1,1,1,1,,X,1,1,7,6,X,6,6,4,4,,X,3,-,-,,,,,R
T,,MBDN,MBN,X,,,,,,X,,,MDN,MDN,X,MDN,MDN,MDN,MDN,,X,MDN,,,,,,,R
T,,離,,,去,天,上，,降,,,生,世,間，,捨,,身,替,我,受,,,死,。,,,,,,R
T,,3,5,L4,3,3,3,4,3,L4,5,5,4,3,L4,4,1,7,1,2,L4,1,-,-,,,,,R
T,,MBN,MBN,X,,,,MBN,MBN,X,,,,,X,,,MDN,MBN,MBN,X,,,,,,,,R
T,,1,,X,1,1,1,1,,X,1,1,5,6,X,4,4,5,5,,X,1,-,-,,,,,R
T,,,,X,,,,,,X,,,MDN,MDN,X,MDN,MDN,MDN,MDN,,X,MDN,,,,,,,R
