T,,1,7,6,5,3,L4,6,1,5,3,L4,3,2,1,6,2,L4,1,7,1,-,R
T,,,MBDN,MBDN,MDN,MDN,X,MDN,,MDN,MDN,X,,MBN,MBN,MDN,,X,,MDN,,,R
T,,3,5,4,3,3,X,4,4,3,1,X,1,6,5,4,6,X,5,5,5,-,R
T,,MDN,MBDN,MBDN,MDN,MDN,X,MDN,MDN,MDN,MDN,X,,MBDN,MBDN,MDN,MDN,X,MDN,MDN,MDN,,R
T,(1),苦,惱,,罪,人,！,請,你,前,來,，,現,在,,信,主,,有,恩,典,，,R
T,(2),不,要,,空,想,,將,功,補,過,，,自,滿,、,自,恃,,不,回,頭,，,R
T,(3),勞,苦,,損,推,，,背,負,重,擔,，,只,管,,走,來,，,主,肯,救,，,R
T,(4),莫,懷,,疑,慮,，,放,心,前,來,，,接,受,,主,的,,大,慈,愛,，,R
T,,5,5,7,1,1,L4,1,1,1,1,L4,5,4,3,1,4,L4,3,2,3,-,R
T,,MDN,MBDN,MBDN,,,X,,,,,X,,MBN,MBN,,,X,,,,,R
T,,1,1,,1,1,X,4,6,1,1,X,1,2,3,4,2,X,5,5,1,-,R
T,,MDN,MDN,,MDN,MDN,X,MDN,MDN,,,X,MDN,MBDN,MBDN,MDN,MDN,X,MDN,MDN,MDN,,RK
T,,3,3,4,5,3,L4,4,2,3,1,L4,3,3,4,5,3,L4,4,3,2,-,R
T,,,MBN,MBN,,,X,,,,,X,,MBN,MBN,,,X,,,,,R
T,,5,5,,5,5,X,7,7,1,5,X,5,5,,5,5,X,7,1,5,-,R
T,,MDN,MDN,,MDN,MDN,X,MDN,MDN,,MDN,X,MDN,MDN,,MDN,MDN,X,MDN,,MDN,,R
T,,耶,穌,,救,主,,歡,迎,你,來,，,滿,心,,慈,悲,,和,愛,憐,；,R
T,,只,要,,覺,悟,,一,身,罪,惡,，,切,實,,悔,改,,必,得,救,；,R
T,,若,是,,你,要,,等,候,好,久,，,直,等,,死,了,，,恨,長,流,；,R
T,,專,心,,信,服,，,誠,心,求,告,，,耶,穌,,必,然,,肯,厚,待,；,R
T,,1,1,2,3,1,L4,2,5,5,3,L4,1,1,2,3,1,L4,2,1,7,-,R
T,,,MBN,MBN,,,X,,,,,X,,MBN,MBN,,,X,,,MDN,,R
T,,1,1,,1,1,X,5,5,1,1,X,1,1,,1,1,X,5,5,5,-,R
T,,,,,,,X,MDN,MDN,,MDN,X,,,,,,X,MDN,MDN,MDN,,RK
T,,1,7,6,5,3,L4,6,1,5,3,L4,3,2,1,6,2,L4,1,7,1,-,R
T,,,MBDN,MBDN,MDN,MDN,X,MDN,,MDN,MDN,X,,MBN,MBN,MDN,,X,,MDN,,,R
T,,3,5,4,3,3,X,4,4,3,1,X,1,6,5,4,6,X,5,5,5,-,R
T,,MDN,MBDN,MBDN,MDN,MDN,X,MDN,MDN,MDN,MDN,X,,MBDN,MBDN,MDN,MDN,X,MDN,MDN,MDN,,R
T,,祂,有,,能,力,，,祂,有,能,力,，,勸,你,,信,服,,莫,遲,延,。,R
T,,如,此,,覺,悟,，,如,此,覺,悟,，,救,主,,赦,罪,,恩,豐,厚,。,R
T,,良,機,,勿,失,，,良,機,勿,失,，,今,日,,信,主,,便,無,愁,。,R
T,,不,用,,金,錢,，,不,用,金,錢,，,白,白,,得,恩,，,請,快,來,。,R
T,,5,5,7,1,1,L4,1,1,1,1,L4,5,4,3,1,4,L4,3,2,3,-,R
T,,MDN,MBDN,MBDN,,,X,,,,,X,,MBN,MBN,,,X,,,,,R
T,,1,1,,1,1,X,4,6,1,1,X,1,2,3,4,2,X,5,5,1,-,R
T,,MDN,MDN,,MDN,MDN,X,MDN,MDN,,,X,MDN,MBDN,MBDN,MDN,MDN,X,MDN,MDN,MDN,,R
